TEST SETUP,
GENESYS 10S Vis v4.003 2D9Q151001,
,
Scanning,2:54am 3Mar18
Test Name ,UV[Saved]
Measurement Mode,Absorbance
Start Wavelength,325nm
Stop Wavelength,1100nm
Sample Positioner,1-Cell Platform
Scan Speed,Slow
ID# (0=OFF),1
Auto Save Data,On
Data File Name,213S
,
,
ID#,2
Wavelength,Abs
713,0.001
714,0.001
715,0.001
716,0.001
717,0.001
718,0.001
719,0.001
720,0.001
721,0.001
722,0.001
723,0.001
724,0.001
725,0.001
726,0.001
727,0.001
728,0.001
729,0.001
730,0.001
731,0.001
732,0.001
733,0.001
734,0.001
735,0.001
736,0.001
737,0.001
738,0.001
739,0.001
740,0.001
741,0.001
742,0.001
743,0.001
744,0.001
745,0.001
746,0.001
747,0.001
748,0.001
749,0.001
750,0.001
751,0.001
752,0.001
753,0.001
754,0.001
755,0.001
756,0.001
757,0.001
758,0.001
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0.001
870,0.001
871,0.001
872,0.001
873,0.001
874,0.001
875,0.001
876,0.001
877,0.001
878,0.001
879,0.002
880,0.002
881,0.002
882,0.002
883,0.002
884,0.002
885,0.002
886,0.002
887,0.002
888,0.002
889,0.002
890,0.001
891,0.001
892,0.001
893,0.001
894,0.001
895,0.001
896,0.001
897,0.001
898,0.001
899,0.001
900,0.001
901,0.001
902,0.001
903,0.001
904,0.001
905,0.001
906,0
907,0.001
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0.001
917,0.001
918,0.001
919,0
920,0.001
921,0.001
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,-0.001
992,-0.001
993,-0.001
994,-0.001
995,-0.001
996,-0.001
997,-0.001
998,-0.001
999,-0.001
1000,-0.001
1001,-0.001
1002,-0.001
1003,-0.001
1004,-0.001
1005,-0.001
1006,-0.002
1007,-0.002
1008,-0.002
1009,-0.002
1010,-0.002
1011,-0.003
1012,-0.003
1013,-0.004
1014,-0.004
1015,-0.004
1016,-0.004
1017,-0.003
1018,-0.003
1019,-0.002
1020,-0.001
1021,-0.001
1022,-0.001
1023,-0.001
1024,-0.001
1025,-0.002
1026,-0.002
1027,-0.003
1028,-0.003
1029,-0.003
1030,-0.003
1031,-0.004
1032,-0.004
1033,-0.004
1034,-0.004
1035,-0.004
1036,-0.004
1037,-0.004
1038,-0.005
1039,-0.005
1040,-0.005
1041,-0.005
1042,-0.005
1043,-0.005
1044,-0.005
1045,-0.005
1046,-0.005
1047,-0.005
1048,-0.005
1049,-0.005
1050,-0.005
1051,-0.006
1052,-0.006
1053,-0.006
1054,-0.006
1055,-0.007
1056,-0.007
1057,-0.008
1058,-0.008
1059,-0.008
1060,-0.008
1061,-0.008
1062,-0.007
1063,-0.007
1064,-0.007
1065,-0.008
1066,-0.008
1067,-0.008
1068,-0.008
1069,-0.008
1070,-0.008
1071,-0.008
1072,-0.008
1073,-0.008
1074,-0.008
1075,-0.008
1076,-0.008
1077,-0.008
1078,-0.008
1079,-0.008
1080,-0.008
1081,-0.008
1082,-0.008
1083,-0.008
1084,-0.008
1085,-0.008
1086,-0.008
1087,-0.008
1088,-0.008
1089,-0.008
1090,-0.008
1091,-0.009
1092,-0.009
1093,-0.009
1094,-0.009
1095,-0.009
1096,-0.009
1097,-0.009
1098,-0.009
1099,-0.008
1100,-0.008
